Country,"Best_Order(p,d,q)",Train_RMSE,Test_RMSE,RMSE_Diff
Australia,"(1, 0, 2)",1.9390792689105774,2.047462996181392,0.10838372727081458
Austria,"(0, 0, 0)",2.0066347891735763,2.4481370412181165,0.4415022520445402
Belgium,"(0, 0, 0)",2.800679836851796,2.616826392702606,0.18385344414918992
Bolivia,"(2, 0, 1)",1575.4173478186003,441.69816396880736,1133.719183849793
Burkina Faso,"(0, 0, 2)",6.877725563329442,4.636032996248289,2.2416925670811523
Canada,"(2, 1, 0)",1.4688486895677455,1.6454276529659606,0.1765789633982151
Colombia,"(2, 0, 2)",5.25597994150573,4.73099988297088,0.5249800585348501
Costa Rica,"(0, 0, 2)",11.116495049862145,10.405834072302783,0.7106609775593622
Cyprus,"(2, 1, 1)",2.4720570074322925,2.9775137210890117,0.5054567136567192
Denmark,"(2, 1, 0)",1.8518661680598603,2.0644366810534405,0.2125705129935802
Dominican Republic,"(0, 0, 2)",11.792455300444674,7.683895151816665,4.108560148628009
Ecuador,"(1, 0, 2)",13.308426364735055,13.329942265395674,0.021515900660618925
Egypt,"(0, 0, 0)",6.567097571388018,10.692042046902062,4.124944475514043
El Salvador,"(2, 0, 2)",3.9310393685527303,3.8302530245848763,0.10078634396785402
European Union (27),"(0, 0, 0)",2.990791590152756,3.695003636258357,0.7042120461056007
Finland,"(2, 1, 2)",2.418375582718008,2.4944443881294887,0.07606880541148087
France,"(0, 1, 1)",1.6412896299053488,1.642687069894234,0.0013974399888851963
Germany,"(0, 0, 0)",1.7371032058177824,2.061168232300372,0.3240650264825897
Greece,"(1, 1, 1)",3.7498476308562396,3.6638585331492486,0.08598909770699104
Guatemala,"(0, 0, 2)",6.9717181996918836,4.426727576156024,2.5449906235358597
Haiti,"(0, 0, 0)",9.550954217286819,12.340109710674419,2.7891554933876
Honduras,"(1, 1, 1)",5.280985666195653,4.097460625099294,1.1835250410963587
Iceland,"(0, 0, 1)",13.53050831154427,13.222967194367966,0.3075411171763047
India,"(2, 1, 0)",5.379050099346087,4.416337191886272,0.9627129074598155
Indonesia,"(1, 0, 2)",154.96920508080575,50.151697744051,104.81750733675474
Iran,"(0, 1, 0)",8.029843993221888,13.359593954585247,5.329749961363358
Iraq,"(2, 0, 2)",71.56619792692918,44.654796553305665,26.911401373623512
Ireland,"(0, 1, 1)",2.773403321766948,2.8033575910491613,0.029954269282213453
Israel,"(0, 0, 2)",43.21860231102795,31.434223927848794,11.784378383179156
Italy,"(0, 1, 2)",2.2518464494640438,2.4113236681749366,0.15947721871089282
Jamaica,"(0, 0, 2)",10.854932990550378,8.919124091558023,1.935808898992354
Japan,"(0, 0, 2)",2.8882866824215108,2.3842705629954426,0.5040161194260682
Kenya,"(0, 1, 0)",7.668481691026695,7.674414087096093,0.005932396069397328
Luxembourg,"(0, 0, 1)",1.7706209237477333,2.1472670899348167,0.37664616618708346
Malaysia,"(2, 0, 2)",2.4338921866278826,2.2141265064037032,0.21976568022417942
Malta,"(0, 0, 2)",2.591031437783892,2.16249177429666,0.42853966348723205
Mexico,"(0, 0, 2)",17.217472006432246,15.953101284184731,1.2643707222475147
Morocco,"(0, 0, 2)",3.1664538065489842,3.1916236736395622,0.025169867090578002
Myanmar,"(2, 0, 2)",11.031587070849667,10.524165689092772,0.5074213817568953
Netherlands,"(0, 0, 0)",2.5021438628308132,2.574376992749371,0.0722331299185579
New Zealand,"(2, 0, 1)",2.75630078380858,2.7040592002299193,0.05224158357866049
Nigeria,"(2, 1, 1)",12.259642669618962,7.901270333787358,4.358372335831604
North America (WB),"(0, 1, 2)",1.380365155365983,1.7497977632356294,0.3694326078696464
Norway,"(0, 1, 0)",2.2471549117625567,2.0962717946433487,0.150883117119208
Pakistan,"(0, 0, 0)",5.406085366657085,7.619271686176627,2.213186319519542
Panama,"(2, 0, 2)",2.579615006861323,2.346347120745774,0.23326788611554905
Paraguay,"(0, 0, 1)",7.045316544221734,7.644203379187564,0.5988868349658301
Peru,"(2, 0, 2)",980.8548328910732,317.27282841662054,663.5820044744527
Philippines,"(2, 0, 2)",7.7754771943860455,6.613499879138489,1.1619773152475563
Portugal,"(1, 0, 1)",3.822588490739882,3.9187840739472866,0.0961955832074044
South Africa,"(0, 0, 1)",3.1395068756154156,3.126169952270037,0.013336923345378615
South Korea,"(0, 0, 0)",7.202584514583807,7.157825449255714,0.04475906532809315
Spain,"(0, 1, 1)",2.531734877322282,2.560627971356458,0.02889309403417606
Sri Lanka,"(0, 0, 0)",5.973551281017824,12.3712320135481,6.397680732530277
Sudan,"(0, 0, 0)",34.76309472469879,104.21087512910907,69.44778040441028
Suriname,"(0, 1, 1)",52.33084936165371,39.7392934040771,12.59155595757661
Sweden,"(0, 0, 0)",3.6113730969600684,3.8262081508745216,0.21483505391445323
Switzerland,"(2, 1, 2)",1.3617974027129829,1.2810532080812185,0.08074419463176441
Syria,"(0, 0, 0)",11.196646643176722,18.9389635525299,7.7423169093531765
Thailand,"(0, 0, 1)",4.016379218188053,4.060671495619692,0.04429227743163899
Trinidad and Tobago,"(1, 1, 0)",3.4217543144683567,3.3635380740734337,0.0582162403949229
Turkey,"(0, 0, 1)",20.856772363935875,23.895118212590248,3.038345848654373
United Kingdom,"(0, 0, 1)",3.509418880653594,3.523172126221085,0.01375324556749069
United States,"(0, 1, 0)",1.7450429571552488,2.021353700859182,0.2763107437039334
Uruguay,"(0, 0, 0)",32.02820280196444,35.55671099564291,3.5285081936784692
Cote d'Ivoire,"(0, 0, 2)",5.538689984254792,4.566082385093943,0.9726075991608489
Singapore,"(1, 1, 0)",4.2591854090457275,4.089881045691109,0.16930436335461874
Gambia,"(1, 1, 2)",8.269145980551174,4.610411229795922,3.6587347507552526
Samoa,"(0, 0, 2)",6.549011671126118,5.489278232646756,1.0597334384793626
Gabon,"(2, 0, 2)",6.844769355379141,3.1983189520515887,3.646450403327552
Democratic Republic of Congo,"(1, 1, 2)",3727.6589978788597,1110.5753780910268,2617.083619787833
Mauritius,"(2, 0, 2)",6.152693396257748,5.13597248933378,1.0167209069239673
Niger,"(0, 0, 2)",7.819073011876157,3.773713553697962,4.045359458178195
Saudi Arabia,"(1, 1, 0)",4.696967670946452,4.418416088192459,0.27855158275399283
Ghana,"(0, 0, 2)",25.428919854537842,15.072467908070323,10.35645194646752
Libya,"(0, 1, 0)",8.36005033728843,9.159023409112981,0.7989730718245518
Madagascar,"(2, 0, 1)",8.264688965493125,5.546051703634915,2.71863726185821
Nepal,"(2, 1, 0)",6.034126715388524,3.5676342757137127,2.4664924396748114
South Asia (WB),"(2, 1, 0)",4.0038905325525205,3.998557558323439,0.005332974229081522
Bahrain,"(1, 0, 2)",3.7490414940574817,2.771843501388776,0.9771979926687058
Burundi,"(0, 0, 0)",8.348023163495544,8.520301626444464,0.17227846294892046
Eswatini,"(2, 0, 0)",4.754000220375546,4.468063120440747,0.28593709993479877
Ethiopia,"(2, 1, 2)",10.247343359246303,10.207640071307958,0.039703287938344545
Saint Lucia,"(1, 0, 0)",4.973257901467277,4.965163110459026,0.008094791008250724
Tanzania,"(0, 0, 0)",10.341898419980927,12.465501576892411,2.123603156911484
Bahamas,"(2, 0, 2)",2.038123646700422,1.9455537534839682,0.09256989321645359
Barbados,"(1, 0, 1)",5.189175302448646,4.546425255463922,0.642750046984724
Dominica,"(0, 0, 2)",4.774922359938954,3.440406139755302,1.3345162201836525
Latin America and Caribbean (WB),"(0, 0, 0)",5.273467153739749,5.970301270635212,0.696834116895463
Rwanda,"(1, 1, 0)",7.036614856171465,6.973654166638568,0.0629606895328978
Togo,"(2, 0, 2)",7.292978068661746,3.781922788979399,3.5110552796823473
Senegal,"(0, 0, 2)",7.177050282370953,4.118052740925592,3.058997541445361
Cameroon,"(0, 0, 1)",6.494594573211569,3.9412415928328053,2.553352980378764
Algeria,"(0, 0, 2)",4.957706981020195,3.9875117754865887,0.970195205533606
Fiji,"(2, 0, 1)",3.439097501909093,3.5997217261291183,0.16062422422002554
Jordan,"(2, 0, 1)",4.71942322041011,4.962165877972522,0.2427426575624123
"Middle East, North Africa, Afghanistan and Pakistan (WB)","(2, 1, 2)",2.45702395841674,2.827094301471141,0.370070343054401
Chile,"(2, 0, 1)",42.326229498970086,40.01686156607315,2.309367932896933
Poland,"(0, 0, 2)",81.59383393438512,28.905999269151742,52.687834665233375
Seychelles,"(2, 0, 2)",6.373869705996562,6.245984710338779,0.12788499565778277
Papua New Guinea,"(1, 0, 1)",4.40515205678249,3.481446633299294,0.9237054234831961
Solomon Islands,"(1, 1, 0)",4.727874571124658,4.308857407831092,0.41901716329356553
Hungary,"(0, 0, 0)",8.147347030382194,7.786061620011618,0.36128541037057627
Kuwait,"(1, 0, 2)",2.4413589772229267,1.8614903163598422,0.5798686608630845
Lesotho,"(1, 1, 2)",7.243146592933119,6.474207496290129,0.7689390966429901
Botswana,"(2, 1, 1)",2.925182764707684,2.9222469019939705,0.0029358627137132665
Saint Vincent and the Grenadines,"(0, 0, 1)",3.1398959261983475,3.1640647267479167,0.02416880054956927
Sub-Saharan Africa (WB),"(1, 0, 0)",3.9539118500512744,3.9754009418314826,0.02148909178020819
Upper-middle-income countries,"(1, 0, 2)",2.8788393795645035,2.894183181048267,0.015343801483763464
Tonga,"(0, 0, 2)",5.149457513405589,4.738582426288044,0.41087508711754506
Grenada,"(0, 0, 2)",3.8603471402311587,4.083532598060469,0.22318545782930999
Vanuatu,"(2, 1, 0)",4.73429886871926,3.8998126481394473,0.8344862205798127
Djibouti,"(2, 0, 1)",3.9175250558118155,3.9314986055387804,0.013973549726964851
Lower-middle-income countries,"(1, 0, 0)",2.158353323916572,1.9972652262744846,0.16108809764208765
Qatar,"(2, 1, 2)",3.4481368047869974,3.483739064046379,0.03560225925938143
Saint Kitts and Nevis,"(1, 0, 0)",3.3187561451338636,3.2825752039830545,0.036180941150809165
Belize,"(0, 1, 0)",3.8654399936481023,3.6857632490962913,0.17967674455181104
Bhutan,"(0, 0, 0)",3.5473604686621427,3.794020689958025,0.2466602212958824
Brazil,"(0, 0, 2)",573.7210252273964,311.30472970417014,262.4162955232262
Brunei,"(0, 0, 1)",1.9317732036403057,1.6391700510937208,0.29260315254658487
Central African Republic,"(2, 1, 0)",7.167794610848038,8.756961370283257,1.5891667594352192
High-income countries,"(0, 0, 0)",2.213838595712872,2.347596121207305,0.13375752549443298
Malawi,"(2, 1, 0)",12.654009600043677,10.74348514801814,1.9105244520255376
Slovenia,"(0, 0, 1)",202.4520683091258,79.62003959284797,122.83202871627782
World,"(1, 1, 0)",2.6898849111990835,2.706527329883636,0.016642418684552407
Hong Kong,"(1, 0, 0)",2.3134243955224125,2.303442119027876,0.009982276494536535
Cape Verde,"(0, 0, 2)",3.094452052514908,3.046175871954101,0.048276180560806736
Chad,"(2, 0, 2)",9.357904310244283,6.03065074420143,3.3272535660428533
Low-income countries,"(0, 0, 2)",4.543470386054856,3.06663100590453,1.476839380150326
Tunisia,"(0, 0, 0)",1.9364372908726957,2.481729071947149,0.5452917810744535
Aruba,"(1, 1, 0)",2.61935967977833,2.6679990165114322,0.04863933673310239
Bulgaria,"(2, 0, 2)",187.19946454986186,129.72329684985286,57.476167700009
Congo,"(2, 0, 2)",7.252925511523214,4.232439301883586,3.0204862096396283
Croatia,"(2, 0, 2)",342.4964055955161,317.99618493844724,24.500220657068837
Equatorial Guinea,"(2, 0, 0)",6.89103256436017,3.1142876332944516,3.7767449310657186
Maldives,"(0, 0, 1)",4.755815327434015,4.7229527460639416,0.032862581370073585
Mauritania,"(2, 0, 1)",2.7983407080816938,2.84710187498169,0.04876116689999632
Zambia,"(0, 0, 2)",27.626079882388893,27.178667667580125,0.447412214808768
Bangladesh,"(2, 0, 2)",2.1178950420745943,2.0638944937987844,0.05400054827580991
China,"(0, 0, 2)",4.263844872647889,3.6480094050622056,0.6158354675856832
East Asia and Pacific (WB),"(0, 0, 0)",2.0313711198578854,2.0316616607761846,0.00029054091829916473
Guinea-Bissau,"(0, 0, 2)",18.24506186113837,14.722150235228037,3.522911625910334
Laos,"(2, 0, 0)",21.68469965452823,14.074447670844624,7.610251983683607
Macao,"(0, 0, 1)",2.800913909127443,2.8298455618664966,0.028931652739053515
Mali,"(2, 0, 2)",4.8498014275223085,4.106976590150549,0.7428248373717592
Angola,"(0, 0, 1)",777.7908592134293,368.60628103784774,409.1845781755815
Romania,"(2, 0, 2)",47.672568610305504,51.703277087882036,4.030708477576532
Yemen,"(2, 0, 1)",9.780925752684892,9.811277477666794,0.03035172498190164
Albania,"(1, 0, 2)",39.44359045811815,29.396555857284376,10.047034600833776
Azerbaijan,"(2, 0, 2)",296.3962856316123,145.2289032189898,151.16738241262246
Czechia,"(0, 0, 0)",4.713436511663546,4.820199976891138,0.10676346522759239
Europe and Central Asia (WB),"(0, 0, 0)",3.3752597441139662,3.3097056503353404,0.06555409377862587
Latvia,"(1, 0, 2)",243.7749635386835,206.598111443024,37.176852095659484
Lithuania,"(2, 0, 1)",170.12429637274437,236.4353889604676,66.31109258772324
Moldova,"(1, 0, 0)",285.2460806818877,125.7636166252757,159.482464056612
Slovakia,"(1, 0, 1)",3.9192507927113907,3.9098748287147744,0.009375963996616221
Belarus,"(2, 1, 2)",785.506721606572,783.5456993079499,1.9610222986220833
Benin,"(1, 0, 2)",7.5887142026374175,3.6825643750677517,3.9061498275696658
Estonia,"(1, 0, 2)",13.981965701179616,8.973677992165092,5.008287709014525
Mongolia,"(2, 0, 2)",55.89198185777529,52.18126781942014,3.7107140383551496
Russia,"(2, 0, 0)",169.24557049731692,199.87200668763796,30.626436190321044
Ukraine,"(2, 0, 2)",1096.5959050256247,788.1232544754884,308.47265055013634
Armenia,"(1, 0, 0)",757.8888252906418,265.7376310076746,492.15119428296714
Kazakhstan,"(1, 0, 2)",507.73244074335014,361.9532066038486,145.7792341395015
North Macedonia,"(2, 0, 1)",32.083197561680464,21.363888161901606,10.719309399778858
Uganda,"(2, 1, 2)",4.379755543165459,4.7779278417757105,0.39817229861025183
Cambodia,"(2, 0, 1)",5.083173419342486,3.049199705659897,2.0339737136825886
Georgia,"(2, 0, 0)",36.95873139988726,30.300271797790835,6.658459602096428
Guyana,"(0, 0, 1)",2.686923459298392,2.0579657087038488,0.6289577505945432
Serbia,"(0, 0, 2)",25.276753369913106,19.440959578938187,5.835793790974918
Kyrgyzstan,"(0, 0, 2)",9.283410708468613,5.817124956043938,3.4662857524246755
Vietnam,"(0, 0, 2)",4.9951363010592935,3.2425804317400115,1.752555869319282
Palestine,"(0, 0, 0)",2.3949635326923873,20.697339967059982,18.302376434367595
Sao Tome and Principe,"(0, 1, 2)",13.048374269506446,10.486007980924372,2.5623662885820746
Antigua and Barbuda,"(0, 1, 0)",2.0748878743347423,3.6726252727069677,1.5977373983722254
Micronesia (country),"(2, 0, 2)",1.7949391018015473,1.6174587778399718,0.17748032396157543
Nicaragua,"(0, 0, 1)",3.485357603425871,2.554691726354319,0.9306658770715521
Comoros,"(2, 1, 2)",1.9461167602040932,4.027684833749982,2.0815680735458884
Curacao,"(2, 1, 0)",1.7328580860926386,1.7362701334266706,0.003412047334031998
Oman,"(0, 0, 1)",2.6086814377040093,1.4969932484993722,1.111688189204637
Tajikistan,"(2, 0, 2)",8.569455409718717,8.783220705410704,0.21376529569198688
Liberia,"(0, 1, 2)",5.447023575776734,5.190961413724215,0.25606216205251897
Palau,"(1, 1, 1)",3.139442197329859,6.31353154925294,3.1740893519230813
East Timor,"(2, 1, 0)",4.530036460989142,4.551099608660072,0.021063147670930427
Kosovo,"(0, 1, 0)",3.939769467690953,4.293032617356818,0.35326314966586514
Namibia,"(1, 0, 1)",1.6288781889429584,1.6134152757358573,0.015462913207101137
San Marino,"(0, 0, 0)",1.041322660421183,2.5947639666818776,1.5534413062606947
Afghanistan,"(1, 1, 1)",8.124515385829103,8.413936090119707,0.2894207042906043
Guinea,"(0, 0, 2)",7.253532980703563,5.7530528491324935,1.5004801315710692
Mozambique,"(2, 0, 2)",4.354743946378567,3.179100010607633,1.1756439357709336
Bosnia and Herzegovina,"(0, 0, 0)",2.545166096715967,6.76429833019443,4.219132233478463
Montenegro,"(0, 0, 0)",2.3330752171492226,6.189795477665561,3.856720260516338
Sint Maarten (Dutch part),"(2, 1, 0)",1.9715351323365027,1.9784951637894148,0.00696003145291213
Kiribati,"(0, 0, 1)",4.418185840055266,4.407979735612972,0.010206104442293196
Sierra Leone,"(2, 1, 2)",3.8720727391305085,17.472965453958388,13.600892714827879
United Arab Emirates,"(1, 1, 0)",4.819200375613307,4.669564621898477,0.14963575371483007
Lebanon,"(0, 1, 0)",23.81233946391022,90.188075717888,66.37573625397778
South Sudan,"(1, 1, 2)",104.45418205323136,71.10609744629873,33.34808460693263
Zimbabwe,"(1, 1, 1)",77.40376137911011,213.90867383451672,136.5049124554066
Uzbekistan,"(1, 0, 1)",1.930057265316005,1.991702526347517,0.06164526103151191
